,Speed (mm/s),Pressure (psi),Material,Thivex,Time Period,Batches,Radius,Line Shape,Needle Size,Needle dia (um),AreaA1 (mm2),FlowQ1 (mm3/s),ShearS1 (1/s),ViscosN1 (PaS),Width (um)
552,40,95,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1115.825796
558,50,95,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,912.4596051
564,30,65,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1298.619982
570,40,65,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1097.696501
576,50,65,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,868.9758357
582,20,75,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1661.54433
588,30,75,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1380.458761
594,40,75,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1097.67123
600,50,75,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,906.7730215
606,20,85,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,2036.687374
612,30,85,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1394.443631
618,40,85,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1210.270411
624,50,85,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,977.491375
630,20,95,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,2216.193461
636,30,95,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1682.374373
642,40,95,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1385.251122
648,50,95,DS10,2%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1211.21864
654,20,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1434.252182
